primotor_activation
0.3699
-0.01646
-0.1098
-0.1497
-1.009
-0.4124
-0.2072
0.003154
1.079
-0.396
-0.03902
-0.2133
0.4888
-0.0491
0.2834
-0.3485
-0.1063
-0.4044
0.07834
0.3132
0.4139
-0.1412
1.03
-0.2279
0.2828
-0.2905
0.4056
-0.06493
0.2561
0.1853
-0.1695
-0.03351
-0.627
0.1049
0.2129
-0.02077
-0.1912
-0.1676
-0.796
0.177
-0.1419
0.1108
0.3137
0.1274
0.3757
0.03723
-0.4208
-0.3256
-0.5851
1.343
0.1913
-0.4247
-0.03656
0.641
-0.2345
-0.01453
0.3397
-1.601
-0.2199
0.2834
-0.6774
0.7193
0.1811
0.02953
-0.6964
0.002612
-0.7182
0.3203
0.8427
-0.06429
0.4639
-0.4569
-0.08957
0.2886
-0.1181
-0.2096
-0.8267
-0.5295
