primotor_activation
-0.3098
-0.1061
-0.3193
-0.1036
0.006486
-1.308
0.189
-0.1873
-0.4482
0.07465
0.05461
-0.1488
0.3753
0.5961
-0.0267
-0.3175
-0.556
-0.05174
0.3176
0.1081
1.556
-1.158
0.769
-0.08062
-0.193
-0.2479
-0.3269
-0.5965
0.1879
-0.2521
-0.866
0.9536
0.06448
-0.3226
-0.000274
-0.2275
0.3505
-0.03735
0.7533
-0.2674
0.2947
0.5727
-0.2514
-0.0426
-0.03332
0.3521
0.01218
-0.6624
0.1938
-0.1003
0.08466
-0.1158
-0.9019
1.141
-0.1177
0.2499
-0.2908
-1.053
0.4494
-0.9784
0.8519
-0.3942
-1.142
1.061
-0.6307
0.2842
0.2217
-0.1355
0.4654
-0.02248
-0.225
0.09051
-0.04814
-0.1004
-0.09096
-0.4647
-0.8888
0.5693
