amyg_activation
0.1198
-0.12
0.118
-0.01028
-0.07586
-0.5517
-0.01721
-0.1022
0.1686
-0.03593
0.2175
-0.1572
-0.4117
0.01678
-0.07784
-0.1118
-0.3326
0.4897
0.1508
-0.112
0.5558
0.7213
0.1113
-0.09884
0.3615
-0.3332
0.1593
-0.1973
-0.07622
-0.1058
-0.1271
-0.1413
-0.43
0.3679
-0.05824
0.2
0.04005
-0.06108
0.0412
0.1047
-0.2115
0.1176
-0.3069
-0.1224
-0.2771
0.06027
0.5767
0.2798
0.4857
-0.2934
0.02689
0.4421
0.5063
0.1751
0.02892
-0.2288
-0.06531
0.5628
-0.06218
0.4597
1.225
-1.053
-0.04873
0.06573
-0.312
0.2101
-0.01168
0.09057
0.03949
-0.1218
0.05076
0.1053
0.2388
0.1157
-0.1229
0.02989
-0.129
-0.1062
