primmotor_activation
0.365
-0.0155
-0.1087
-0.1467
-1.008
-0.4196
-0.206
0.003398
1.075
-0.393
-0.03788
-0.2136
0.487
-0.05163
0.2802
-0.3452
-0.1081
-0.4064
0.07694
0.3155
0.4124
-0.1441
1.032
-0.2307
0.2819
-0.2913
0.3974
-0.06399
0.2562
0.1827
-0.168
-0.03519
-0.6263
0.1072
0.2253
-0.0444
-0.1929
-0.168
-0.7959
0.1768
-0.1447
0.1061
0.3147
0.09705
0.3735
0.038
-0.4248
-0.3265
-0.587
1.342
0.1873
-0.4196
-0.03888
0.6425
-0.2342
-0.01888
0.3477
-1.598
-0.2211
0.2848
-0.6821
0.7178
0.1892
0.02703
-0.6969
0.00118
-0.7191
0.3211
0.8489
-0.07317
0.462
-0.4551
-0.08762
0.2916
-0.1235
-0.2106
-0.8171
-0.5366
