mPFC_activation
-0.342
-0.0606
-0.05576
-0.02532
-0.5178
-1.231
-0.1519
0.2383
-0.1589
0.1629
-0.06535
-0.06431
-0.8102
-0.254
-0.9172
-0.3781
0.2211
0.05891
0.6123
-0.3136
-0.9469
-0.4214
-0.4247
-0.06341
-0.4769
0.04554
0.2435
0.7191
-0.3365
0.05154
0.04519
0.06329
-0.06941
-0.006158
-0.5795
-0.5287
-0.4939
0.07561
-0.3907
-0.121
0.4303
0.2919
0.03318
0.03643
-0.6662
-0.09008
-0.9992
-1.25
0.4699
0.1129
-0.1917
-0.2326
-0.13
-0.2379
-0.2047
0.2834
-0.02449
-0.4607
-1.216
-0.002119
0.2637
-0.158
0.01636
0.153
-0.6831
-0.831
0.2171
-0.02022
-0.03644
-0.6355
0.05494
-0.1134
-0.001048
0.441
-0.1197
-0.01903
-0.5537
0.06767
