supamyg_r_activation
0.6384
0.0424
0.3875
-0.04229
-0.04755
-0.1036
0.3123
-0.07199
-0.005171
-0.04804
0.08245
-0.2831
-0.1436
0.09538
0.6615
-0.3452
-0.06641
0.7223
-0.05787
0.3735
0.5916
-0.1349
0.07891
-0.309
0.4708
-0.4127
0.09302
-0.3009
0.02888
0.002314
-0.2554
0.03086
-0.5002
0.65
-0.1048
0.2821
-0.03506
0.141
0.2587
0.03978
0.02398
0.1814
-0.04065
-0.06299
-0.1612
0.2533
-0.3657
0.1966
0.5245
0.2503
0.08831
0.0646
0.7642
-0.1733
0.3996
-0.7175
0.1628
0.379
0.2271
-0.1077
1.259
-1.239
-0.1139
0.1686
-0.06188
0.124
0.2441
0.4676
0.1229
-0.248
0.1999
-0.1948
0.5071
-0.04172
-0.08002
0.2263
-0.6408
0.4533
