primmotor_activation
-0.3141
-0.443
-0.001103
-0.4071
-0.1293
0.2864
0.3091
-0.08678
-0.4031
-0.3109
0.546
-0.3721
-0.2177
0.5467
0.01735
-0.1125
0.4779
0.2061
-0.02204
0.3646
0.07408
-0.2452
0.1414
0.201
0.03524
-0.02945
0.9814
-0.5904
0.2451
-0.1967
-0.577
-0.725
0.4058
-0.1669
-0.3551
0.05779
0.7599
-0.3721
0.7008
-0.07106
0.05108
-0.1915
0.1557
-0.1886
-0.575
0.6058
-0.08483
-0.1516
-0.196
0.1284
0.07256
-0.1055
0.05902
0.3558
0.04536
0.1919
-0.1323
0.9057
0.2454
0.8768
0.1554
-0.6518
0.1314
0.5304
0.01093
-0.03276
-0.03007
-0.3558
0.6431
-0.3748
-0.3059
-0.5042
-0.1176
0.00155
-0.197
-0.03606
-0.9283
0.4482
