amyg_activation
0.6377
-0.2213
0.7643
-0.137
-0.2716
-0.006486
0.3991
-0.118
0.1177
-0.1448
0.08957
-0.4513
-0.1624
-0.1818
0.4562
-0.5254
-0.08257
0.8589
-0.1486
0.2894
0.9601
-0.2773
0.1748
-0.1853
0.464
-0.4571
0.03454
-0.4095
-0.1236
-0.06337
0.002391
-0.09953
-0.8418
0.7423
-0.1253
0.3701
0.08776
0.1244
-0.07128
0.1415
-0.01598
0.1851
0.5273
-0.1835
-0.3851
0.3286
-0.05528
-0.04355
0.8965
0.1052
0.2563
0.06053
0.8145
-0.04585
0.0455
-0.4719
0.259
0.2799
0.1171
0.1796
1.639
-1.418
-0.1013
0.1284
-0.2242
0.3746
-0.048
0.2535
0.03214
-0.04263
0.2532
-0.09311
0.4019
0.224
-0.08459
0.2331
-0.6974
0.4334
