cmamyg_l_activation
0.2818
0.1003
0.6285
-0.07952
0.05986
0.1321
0.02309
0.05901
0.1646
0.09636
-0.09075
0.08921
-0.2738
-0.01296
0.3025
-0.0143
0.01747
0.136
-0.3596
0.2858
1.112
-1.373
0.1876
-0.1094
0.2841
-0.417
0.1201
-0.1768
0.07217
0.03043
0.07104
-0.1993
-0.701
0.5867
0.1187
0.2011
0.04058
-0.05045
0.222
0.0525
-0.0438
0.1777
0.3034
0.08335
-0.06109
0.1331
-0.4349
-0.2094
1.039
0.4858
-0.2466
0.2176
0.6689
0.1006
0.4095
-0.5475
-0.09636
0.1177
0.2767
-0.2108
0.9236
0.2417
0.2046
0.06189
-0.1844
0.251
-0.1201
0.4514
0.1045
-0.365
0.3401
-0.3593
0.9485
0.2504
-0.1418
0.1628
-0.3616
0.06124
