cmamyg_l_activation
0.1054
0.3898
0.2776
0.02652
-0.08474
-0.214
0.1597
-0.1049
-0.07788
0.5621
-0.04121
-0.11
0.2522
0.01435
0.1221
-0.1736
0.01564
-0.08689
0.06593
0.3124
0.2575
-0.07641
0.776
-0.4382
-0.1174
0.108
-0.04077
-0.09811
0.09314
-0.2525
-0.003548
-0.002669
-0.4433
-0.00547
-0.1081
-0.3608
-0.1789
0.3104
0.4543
-0.2069
0.3003
-0.06993
0.4175
-0.134
0.0648
-0.05129
-0.06781
-0.05783
0.01069
-0.1961
0.7957
-0.1198
0.04366
1.02
0.1521
0.1941
0.2693
-0.1405
0.2119
0.1424
0.191
-0.132
0.1625
-0.3913
-0.2423
0.03607
-0.01309
-0.1588
0.1487
0.004617
0.09162
-0.03569
0.06315
0.5099
0.6417
-0.5436
-0.1091
0.1722
