lbamyg_l_activation
-0.1415
-0.000983
0.2954
-0.4941
0.2494
-0.2038
0.1377
-0.07591
-0.6382
0.753
-0.06437
0.03762
0.1652
0.005739
-0.03316
-0.3731
-0.6863
0.7584
1.061
-0.5193
0.2995
-0.4379
0.2054
-0.0175
0.08408
0.0295
0.08239
-0.2335
0.005685
-0.1687
0.2153
-0.421
0.0182
-0.01363
-0.2634
-0.06608
-0.2427
0.1125
0.5288
-0.2135
0.1433
-0.02367
-0.1015
0.1429
-0.2723
0.1657
0.37
-0.3929
-0.2736
0.8452
-0.6254
0.05751
0.1396
0.08346
0.2951
0.2973
-0.8892
0.7127
0.1314
-0.2565
0.3687
-0.02962
0.1982
0.4171
-0.5509
0.3288
-0.0286
0.1602
0.09806
-0.2698
0.1942
-0.3045
-0.1112
0.2293
0.3945
-0.2613
0.1177
-0.353
