mPFC_activation
0.1634
-0.7881
-0.06654
-0.2882
-0.7776
0.7095
-0.1399
-0.06499
0.5412
0.3693
0.4604
-0.1769
0.231
0.3338
0.09999
-0.7372
-0.6626
0.5755
0.5592
-0.09974
0.294
-0.2945
-0.3734
1.024
-0.1667
-0.2382
-0.1175
-0.1141
0.617
-0.5309
0.008712
-0.5061
-0.5815
-0.03472
0.2372
0.3227
0.2405
-0.2882
0.8804
0.03033
0.04218
0.3456
0.2196
-0.1247
-0.4172
0.01412
0.2744
0.1346
-0.6641
0.1862
-0.02758
0.5388
0.2008
0.7014
-0.00654
0.2944
-0.8401
0.7648
0.0291
-0.6887
0.09946
-0.3326
-0.2042
-0.6506
0.4159
-0.2029
-0.6813
0.142
-0.05231
-0.7445
0.04646
-0.02195
-0.1235
-0.1047
0.2666
-0.8762
-0.1279
0.1257
