amyg_l_activation
0.1285
-0.212
0.4016
-0.08505
-0.2332
-0.2792
0.1025
-0.09066
0.1815
-0.02755
0.1837
-0.2062
-0.3683
-0.1418
0.1108
-0.3403
-0.2991
0.6888
-0.005422
-0.05048
0.8742
0.4838
0.1097
-0.03267
0.3601
-0.3916
0.126
-0.2778
-0.1195
-0.05021
-0.03303
-0.0601
-0.5674
0.4843
-0.1948
0.3488
0.06495
-0.000506
-0.08001
0.1338
-0.0807
0.1552
0.1681
-0.115
-0.3815
0.1766
-0.2608
-0.1345
0.6022
-0.2337
0.1319
0.3438
0.6453
0.1534
0.05264
-0.4175
0.02526
0.431
-0.02734
0.3582
1.495
-1.14
-0.006592
0.05423
-0.2563
0.2856
-0.1197
0.0478
0.1779
-0.1623
0.1953
0.003382
0.3627
0.2279
-0.106
0.1226
-0.316
0.1074
