supamyg_l_activation
0.1333
0.1168
0.2093
-0.3019
0.06417
-0.2906
0.08809
-0.1857
0.02477
0.5707
0.4945
0.1671
0.6427
-0.1076
-0.2926
-0.3004
-0.4382
0.353
1.125
0.07757
1.22
-1.634
-0.3823
0.3664
-0.05641
0.03937
0.3024
-0.6324
0.05238
-0.009774
0.5957
-0.9582
-0.3486
-0.281
-0.5167
0.1341
-0.2502
0.3232
0.4715
0.003998
0.6004
0.1196
0.4924
-0.1058
-0.2488
0.07419
0.4812
-0.661
-0.6014
0.62
0.08039
0.2152
-0.09166
0.4775
-0.1627
0.4535
0.1669
0.5181
0.5554
-0.4903
0.1737
-0.2233
0.00193
-0.09122
-0.6559
0.1214
-0.1402
0.217
0.127
-0.4324
0.1035
-0.2388
-0.3901
1.472
0.2449
-0.5032
0.1321
-0.02316
