cmamyg_r_activation
-0.1802
0.6755
0.3787
-0.05279
0.0249
-0.0709
0.06937
0.04526
-0.05846
0.3874
-0.1022
0.2195
0.03426
0.196
0.3496
-0.2374
0.205
-0.2311
-0.2685
0.3081
0.1056
-1.09
0.2724
-0.1211
0.1974
-0.01006
-0.06889
-0.2787
0.248
-0.2232
-0.02126
-0.2898
0.03443
-0.2317
0.2118
-0.3966
0.0702
0.3158
0.1586
0.02802
-0.002244
-0.08747
0.07373
-0.1009
0.02685
-0.1008
0.1493
-0.09019
-0.1334
0.103
0.6361
0.08385
0.313
-0.2865
0.3159
0.2179
0.7278
-0.01289
0.04285
0.08833
0.3905
-0.3697
0.1166
-0.3785
-0.02543
-0.08142
0.3115
-0.2627
0.4123
-0.4153
-0.4737
-0.7248
0.5619
-0.06295
0.6054
-0.2224
-0.05277
0.1376
