pgACC_activation
-0.08026
-0.1454
0.2557
0.009682
-0.5809
0.9041
0.05544
-0.315
-0.2469
-0.1945
-0.8268
0.1171
-0.4377
-0.2014
-0.3288
-0.4577
-0.4833
0.1946
-0.5126
0.625
0.5106
-0.793
-0.1839
-0.304
0.2838
-0.5949
-0.5024
-0.1255
-0.1189
-0.2374
-0.07715
0.04246
-1.18
-0.2496
0.2377
-0.5561
-0.8372
-0.6044
0.1337
-0.2975
0.02374
-0.0245
0.1599
0.04259
-0.09882
-0.4711
-0.9233
-0.4282
0.5941
0.6143
-0.08349
0.0727
0.1329
2.743
0.3213
0.04315
-0.3239
-0.3626
-0.07736
0.4451
0.5461
-1.435
-0.3515
0.4082
-0.5597
-0.09539
-0.2844
0.1903
-0.4252
0.2231
0.2131
0.3176
-0.1072
0.2805
0.2114
-0.5726
-0.09056
-0.08032
0.2194
-0.258
