amyg_l_activation
-0.2088
0.008212
0.2845
0.3332
-0.1527
0.2836
-0.1045
0.01192
0.0801
0.1054
-0.1684
0.04185
-0.06988
0.09594
-0.5253
-0.1981
0.6023
-0.2068
-0.07456
0.05551
0.2345
-0.3477
-0.1425
-0.1281
-0.06241
0.2695
0.01117
0.2737
-0.004008
0.05158
0.08469
0.1962
0.4285
-0.05426
0.09708
-0.3341
0.1669
0.2308
0.2704
0.1298
0.02795
-0.1478
-0.3187
-0.1474
0.04608
-0.1651
-0.5132
-0.5273
0.1592
0.4706
-0.3888
-1.161
0.04363
-0.2469
-0.1449
0.3178
0.4503
-0.1842
-0.2097
-0.6719
-0.1319
0.9864
0.01232
-0.0733
-0.111
-0.3603
-0.1546
-0.1285
0.3845
0.7376
0.000541
-0.01293
0.3074
0.1154
0.2287
0.04107
0.05956
-0.07135
