amyg_r_activation
0.01744
0.06355
0.2809
0.1883
-0.2376
0.467
0.00289
0.1026
-0.02397
0.09277
-0.2081
-0.06161
0.1581
0.02983
-0.06335
-0.07802
0.2148
-0.2173
0.06178
0.01867
0.09607
-0.2458
-0.1782
0.1353
-0.08112
0.1855
-0.06351
0.1794
0.004009
0.2457
0.05671
0.4314
0.4715
0.00262
0.09253
-0.02231
0.1022
0.1424
0.1756
0.08454
-0.0941
-0.178
-0.1396
-0.05533
-0.01517
-0.1049
-0.268
-1.265
0.2493
0.3697
-0.1638
-1.056
-0.01278
-0.1456
0.1087
0.1954
0.3024
-0.345
0.08033
-0.4903
-0.3934
0.9574
0.09879
-0.07022
0.005745
-0.2994
-0.0123
-0.269
0.37
0.5749
-0.06387
-0.1176
0.06377
-0.03365
0.04724
-0.04821
-0.04644
0.05482
