pgACC_activation
-0.05054
-0.6287
0.06941
-0.4012
-1.195
0.889
-0.1626
0.02297
0.4706
0.2906
0.2864
0.003684
0.2799
0.2476
0.07861
-0.654
-0.745
0.8276
0.6548
-0.4301
0.6124
-0.5736
-0.158
0.5965
-0.2477
-0.1143
-0.0452
0.1373
0.361
-0.4658
-0.04639
-0.4317
-0.5189
0.08892
-0.2277
0.6567
0.3702
-0.6757
0.8051
0.07863
0.1697
0.3906
0.2569
-0.3368
-0.2325
-0.03743
0.0538
0.08592
-0.7788
0.2833
0.3605
0.4157
-0.3352
-0.1426
0.2942
0.6939
-0.1322
0.3939
-1.035
0.644
0.09776
-0.4053
0.1377
-0.3226
-0.03562
-0.9377
0.4918
-0.1657
-0.1555
0.1762
-0.08872
-0.6437
0.05429
0.1383
-0.1861
-0.04217
0.3231
-0.9747
-0.1338
-0.0353
