supamyg_l_activation
0.6062
-0.3791
0.8809
-0.1685
-0.3624
0.05817
0.3694
-0.1057
0.1705
-0.177
0.03217
-0.4477
-0.1484
-0.3445
0.2295
-0.5565
-0.08481
0.903
-0.1855
0.24
1.115
-0.2899
0.1909
-0.1111
0.4341
-0.4617
-0.002116
-0.444
-0.2004
-0.06264
0.08731
-0.09954
-0.9681
0.7378
-0.1052
0.4151
0.1444
0.1306
-0.2339
0.1785
-0.01851
0.1886
0.7986
-0.3162
-0.4913
0.3297
0.04864
-0.1394
1.041
0.05587
0.2405
0.1588
0.5046
-0.285
0.8217
0.003514
-0.09632
-0.3504
0.3295
0.1865
0.01151
0.347
1.856
-1.545
-0.07613
0.1094
-0.2702
0.4668
-0.225
0.1445
0.0239
0.0242
0.2565
-0.04331
0.3502
0.3726
-0.104
0.2217
-0.7075
0.385
