amyg_r_activation
0.2721
-0.0305
0.09666
0.05106
0.004816
-0.5789
0.01248
-0.08897
0.1294
-0.07432
0.2063
-0.1525
-0.3671
0.129
-0.04973
0.006214
-0.1793
0.3685
0.1569
0.04007
0.4085
0.2917
0.1009
-0.206
0.4087
-0.295
0.0847
-0.22
-0.04796
-0.1861
-0.03879
-0.2198
-0.5045
0.4234
0.116
0.106
0.05897
-0.01713
0.1361
0.08077
-0.1933
0.08494
-0.542
-0.04877
-0.1707
0.06105
1.282
0.7886
0.6174
-0.1319
-0.1162
0.5181
0.5253
0.08251
0.06534
-0.07577
-0.01734
0.5306
0.003199
0.4746
1.185
-1.222
-0.1092
0.1076
-0.3555
0.2627
0.04797
0.2624
-0.06853
-0.08769
-0.03068
0.06215
0.2047
0.08329
-0.1425
0.06867
-0.1439
-0.09576
