wm_activation
0.2623
0.0286
-0.1884
-0.01946
-0.09186
0.05458
-0.006684
0.1921
0.4566
-0.4615
0.03686
-0.1684
0.1543
-0.04033
-0.01113
0.02465
0.1124
-0.09792
-0.03139
0.03964
-0.2834
0.06725
0.07128
0.1515
-0.1749
0.1057
0.1293
-0.1114
-0.01385
-0.007044
0.0357
-0.02487
0.1385
-0.06282
0.3953
-0.01327
0.1015
-0.02124
-0.02295
0.015
0.06284
-0.06751
-0.06276
0.05863
0.1295
-0.1733
-0.002278
-0.0468
0.06439
-0.02903
-0.06252
-0.1914
-0.1223
-0.01704
-0.0314
0.03708
0.158
-0.0843
-0.005018
0.111
0.1403
-0.11
-0.2111
0.1827
-0.07442
0.02196
-0.02347
0.04032
0.05131
0.1078
-0.1199
-0.04328
0.0766
-0.0815
-0.06954
0.2724
0.2459
-0.2917
