primmotor_activation
-0.3057
-0.1063
-0.3242
-0.1028
0.003903
-1.301
0.1885
-0.1857
-0.4452
0.07292
0.05315
-0.148
0.3737
0.5957
-0.03568
-0.3144
-0.5628
-0.04032
0.303
0.1221
1.561
-1.161
0.7686
-0.08472
-0.1938
-0.2473
-0.324
-0.6003
0.1797
-0.2515
-0.8779
0.963
0.05743
-0.3181
-0.000737
-0.2252
0.3409
-0.0264
0.7543
-0.2677
0.2969
0.5712
-0.2478
-0.05315
-0.02746
0.3502
0.00495
-0.6476
0.1929
-0.1004
0.09055
-0.1186
-0.9124
1.15
-0.1211
0.2508
-0.2973
-1.057
0.4442
-0.9678
0.8474
-0.3901
-1.142
1.069
-0.6474
0.2888
0.2227
-0.1359
0.4738
-0.0243
-0.2262
0.08722
-0.04968
-0.09916
-0.08926
-0.4666
-0.8889
0.5694
