lbamyg_r_activation
-0.03104
0.1574
0.02374
-0.3356
0.2694
-0.104
-0.003753
-0.007557
-0.2691
0.5125
-0.001508
0.2329
0.01081
-0.119
0.1462
-0.3762
-0.7591
0.1683
0.5838
-0.2409
0.674
-0.4509
-0.1008
-0.1085
0.02217
0.135
0.048
-0.1759
0.1657
-0.1716
0.1083
-0.5116
0.03216
-0.1199
-0.2119
0.03191
0.03157
0.03823
0.4565
0.003065
-0.2008
-0.2075
0.01609
0.1135
-0.00788
0.01431
0.2381
-0.3491
-0.4401
1.201
-0.736
0.3915
-0.258
0.194
0.1891
0.3261
-0.1843
0.5964
-0.03717
-0.1495
0.3267
-0.3727
0.4979
0.215
-0.395
0.1211
-0.006625
-0.2846
0.2068
-0.04938
0.104
-0.04652
-0.08004
0.1577
0.000675
-0.1331
0.08722
0.04421
