amyg_l_activation
-0.02514
0.09344
0.1793
-0.3597
0.161
-0.2003
0.1197
-0.1088
-0.5359
0.8149
0.08223
0.02442
0.2732
-0.05341
-0.08409
-0.3388
-0.5631
0.5483
0.9325
-0.2501
0.5539
-0.608
0.09038
0.054
0.05112
0.02023
0.1295
-0.3368
0.02659
-0.1244
0.3051
-0.4752
-0.1076
-0.1271
-0.2716
-0.03963
-0.2166
0.1648
0.5001
-0.143
0.2043
-0.009476
0.1011
0.05056
-0.2255
0.1011
0.3716
-0.4315
-0.3196
0.6983
-0.245
0.07035
0.09656
0.3343
0.1516
0.3275
-0.3256
0.5322
0.253
-0.269
0.3205
-0.1142
0.1494
0.1985
-0.5226
0.2214
-0.02705
0.108
0.08088
-0.273
0.1659
-0.2434
-0.1847
0.6153
0.352
-0.3073
0.06437
-0.1597
