lbamyg_r_activation
0.295
-0.06252
0.04331
0.05332
0.07637
-0.8222
-0.000472
-0.1218
0.1446
-0.1089
0.2471
-0.07648
-0.4064
0.1302
-0.2228
0.0965
-0.2856
0.3979
0.2366
-0.06567
0.4359
0.6385
0.179
-0.2198
0.4308
-0.2769
0.1337
-0.2004
-0.07377
-0.2142
-0.1187
-0.2433
-0.5464
0.4373
0.1712
0.07233
0.07857
-0.04423
0.1136
0.114
-0.2685
0.05706
-0.6978
-0.1156
-0.2176
-0.01046
1.836
1.094
0.7066
-0.2564
-0.09663
0.6506
0.5119
0.1316
-0.01881
0.01522
-0.006555
0.575
-0.04091
0.6789
1.274
-1.379
-0.1702
0.1497
-0.4367
0.2845
-0.01674
0.2605
-0.2396
-0.06932
-0.09327
0.2375
0.1769
0.1016
-0.168
-0.01533
-0.1286
-0.2633
