wm_activation
0.1295
-0.1202
0.3284
0.002179
0.2589
-0.09376
-0.0103
0.07095
-0.1349
0.1088
-0.02302
0.298
-0.08688
0.04812
0.03704
-0.03944
0.2671
-0.1049
-0.043
-0.161
0.4923
0.1835
0.0212
0.0755
-0.08031
0.03544
-0.07563
0.07935
-0.03459
0.09759
-0.07184
-0.1258
0.09245
-0.1906
-0.02908
-0.07531
-0.000388
-0.04045
-0.278
0.03746
-0.2092
0.183
-0.05634
0.02276
0.03163
0.05592
0.207
-0.8313
0.073
0.03706
-0.1336
0.2445
0.1182
-0.09899
0.08453
0.03425
0.226
-0.1937
0.2452
-0.0579
-0.1033
-0.06787
-0.1389
-0.06648
0.2192
0.07093
0.07789
0.05975
-0.1211
0.08999
-0.0703
0.09441
0.01716
-0.03814
-0.0155
0.001862
-0.4326
-0.02279
