cmamyg_L_activation
0.3546
0.07647
0.6563
-0.09518
-0.07043
0.117
0.00019
0.09684
0.1574
0.07265
-0.09546
0.01996
-0.2467
-0.03807
0.2894
-0.00898
0.02815
0.1641
-0.257
0.2183
0.9513
-1.06
0.2741
-0.1587
0.2671
-0.3704
0.07835
-0.1816
0.08041
-0.02542
0.07293
-0.1385
-0.634
0.5307
0.1325
0.1544
0.03157
-0.03022
0.2294
0.03307
-0.05213
0.2355
0.2325
0.06418
-0.08556
0.1811
-0.2424
-0.2329
0.8964
0.4255
-0.1457
0.1254
0.2373
0.2926
0.6097
0.127
0.3746
-0.4803
-0.05371
0.1113
0.2541
-0.1567
0.877
0.1351
0.2322
0.02744
-0.2215
0.2831
-0.09187
0.4313
0.07992
-0.2765
0.3338
-0.3273
0.8653
0.2224
-0.1276
0.1938
-0.3081
0.09749
