supamyg_r_activation
-0.1138
0.5458
0.1918
-0.2187
0.07287
0.003863
0.1356
-0.08572
-0.1853
0.5566
0.2665
0.412
0.402
-0.1599
0.2359
-0.02549
0.3123
-0.2141
0.4748
-0.09696
0.1007
-1.167
0.1148
-0.07914
0.2521
0.04604
0.08136
-0.5837
0.04299
-0.1333
0.5659
-0.8342
0.01587
-0.1559
-0.1885
-0.1201
0.06144
0.2472
0.4821
-0.04456
0.3973
-0.1708
0.3174
0.09403
0.001977
-0.04318
0.5329
-0.92
-0.4468
0.5693
0.4674
0.05809
0.01623
0.5189
0.3841
0.4478
0.6407
0.2215
0.1932
-0.1716
-0.03772
-0.5289
-0.1849
-0.1868
-0.2941
-0.0982
0.1833
-0.1964
0.3559
-0.4199
-0.001972
-0.1144
-0.1264
0.4411
0.4882
-0.07624
0.148
0.09677
