lbamyg_l_activation
-0.03558
0.05125
0.1854
-0.4311
0.2153
-0.1858
0.1504
-0.1072
-0.6857
0.8721
-0.02308
-0.003688
0.1726
-0.0477
-0.03276
-0.3585
-0.6074
0.6512
0.9728
-0.4513
0.3646
-0.4117
0.1346
0.00696
0.07375
0.01711
0.08325
-0.2469
0.06286
-0.1863
0.2211
-0.411
-0.0225
-0.06196
-0.1739
-0.08247
-0.2069
0.1213
0.5187
-0.1869
0.06647
-0.07897
-0.0609
0.1084
-0.2236
0.1105
0.3816
-0.3793
-0.2699
0.7929
-0.4891
0.04773
0.1336
0.1884
0.2346
0.2965
-0.5673
0.5853
0.1478
-0.2431
0.3689
-0.08905
0.2276
0.2814
-0.5212
0.2811
0.01371
0.08763
0.04749
-0.2347
0.2134
-0.2583
-0.1377
0.3377
0.34
-0.2167
0.08748
-0.2146
