supamyg_r_activation
0.6186
-0.03426
0.4091
-0.06933
-0.1407
-0.09039
0.3198
-0.1099
-0.000538
-0.1033
0.1047
-0.3462
-0.2047
0.02369
0.6441
-0.409
-0.1905
0.6842
-0.07588
0.3692
0.6728
-0.2654
0.1386
-0.3135
0.4301
-0.4531
0.06179
-0.3458
-0.04167
-0.008456
-0.1134
-0.1482
-0.5646
0.6404
-0.1326
0.2288
0.003417
0.06709
0.1737
0.07923
-0.07041
0.1747
0.1395
-0.06518
-0.1535
0.244
-0.2606
0.03226
0.4749
0.176
0.2709
-0.07963
0.2714
-0.1922
0.7385
-0.07043
0.2057
-0.581
0.07394
0.4392
0.1554
0.01516
1.082
-0.9662
-0.1258
0.1604
-0.1395
0.1838
0.1794
0.3659
0.08107
-0.11
0.2256
-0.1972
0.3339
-0.06766
-0.06521
0.1944
-0.5828
0.44
