cmamyg_r_activation
0.06098
0.02702
0.1926
0.06593
-0.2477
0.1785
-0.05225
0.01513
0.09085
0.09014
0.111
-0.417
-0.2992
0.1283
0.3365
-0.1963
0.197
0.106
-0.07784
0.3188
0.21
-0.9273
-0.1895
-0.1039
0.3119
-0.307
-0.08647
-0.2684
0.02262
-0.1363
0.3747
-0.2185
-0.3754
0.2884
-0.06991
0.1575
0.02169
0.01624
0.1674
-0.01513
0.009452
0.1872
-0.155
0.2123
-0.007793
0.2627
-0.3196
-0.1345
0.2893
0.1919
-0.227
0.1479
0.09753
0.3572
0.4756
-0.02831
0.2754
-0.2001
-0.07778
0.3252
0.08963
-0.08506
0.7577
-0.5658
0.1288
-0.07973
-0.1675
0.2534
0.2263
0.1727
0.5049
-0.1264
0.1346
-0.4861
0.2016
0.06602
-0.02666
0.2908
0.028
0.3127
