cmamyg_r_activation
0.001913
0.06901
0.1817
0.08605
-0.2701
0.2145
-0.07602
0.0407
0.1298
0.05824
0.09461
-0.4087
-0.3089
0.1404
0.337
-0.2048
0.2123
0.07657
-0.07494
0.3244
0.2062
-0.958
-0.2158
-0.09936
0.2865
-0.3147
-0.1245
-0.2639
0.0236
-0.1583
0.399
-0.2404
-0.3309
0.2575
-0.01004
0.1632
0.02161
0.02113
0.1725
-0.03881
0.01851
0.1558
-0.1281
0.238
0.02144
0.2692
-0.2579
-0.2109
0.2877
0.208
-0.2957
0.1788
0.4677
-0.00135
0.2588
-0.1515
-0.1484
0.4166
0.08142
-0.1044
0.7751
-0.553
0.1491
-0.09789
-0.1553
0.2375
0.2257
0.1728
0.5571
-0.08834
0.1219
-0.5504
0.1776
0.06603
-0.06532
0.3456
0.02849
0.3447
