supamyg_l_activation
0.6345
-0.4231
1.102
-0.2301
-0.4519
0.0217
0.436
-0.1689
0.3082
-0.2186
0.1193
-0.7275
-0.1811
-0.4171
0.3224
-0.6451
0.1848
1.002
-0.132
0.07117
1.112
-0.2211
0.08273
-0.001585
0.4879
-0.4377
-0.01089
-0.4295
-0.2241
-0.1315
0.1067
-0.09668
-1.033
0.8182
-0.1705
0.4701
0.163
0.1618
-0.3758
0.166
-0.02799
0.1828
0.9381
-0.3405
-0.6467
0.4268
0.1442
0.01377
1.236
-0.14
0.381
0.1789
0.7831
0.07378
-0.2894
-0.1991
0.4891
0.1807
0.1023
0.3544
1.83
-1.907
-0.08574
0.05621
-0.3627
0.503
-0.2429
0.07328
0.04689
0.09706
0.243
0.07788
0.2547
0.3987
-0.1625
0.2433
-0.6497
0.3583
