lbamyg_r_activation
0.3149
-0.0734
0.09258
0.01741
0.02208
-0.6047
0.1579
-0.1009
0.1674
-0.2243
-0.3486
0.08966
-0.1487
0.006641
-0.2134
0.3668
0.1799
-0.01303
0.3559
0.474
0.1436
-0.2027
0.4033
-0.3089
0.1239
-0.1898
-0.06956
-0.1642
-0.1307
-0.2423
-0.4921
0.377
0.1031
0.1056
0.03344
-0.05057
0.08982
0.082
-0.2777
0.1012
-0.4405
-0.186
-0.211
0.032
1.398
0.6171
0.5892
-0.1686
-0.04627
0.4374
0.4655
0.1207
-0.06109
-0.03697
-0.0038
0.5365
-0.04253
0.4692
1.133
-1.103
-0.09987
0.08507
-0.3669
0.2298
0.04899
0.181
-0.1371
-0.01979
-0.04094
0.159
0.1589
0.08499
-0.1111
0.007593
-0.1209
-0.173
