primmotor_activation
0.6746
-0.8673
0.008149
-0.161
-0.3135
-0.1517
-0.2638
-0.05504
0.213
-0.2787
0.0657
-0.7178
-0.2185
0.2543
-0.134
-0.1884
-0.2413
0.2607
-0.4699
0.09897
-0.8657
0.2139
0.5964
-0.7987
0.4162
-0.2761
-0.3787
0.2455
0.3966
-0.03181
-0.6113
1.049
0.1678
0.1075
-0.2545
0.1383
-0.4023
0.1923
-0.8395
-0.08179
-0.1765
-0.2305
0.3212
0.3766
0.1527
-0.06225
0.1581
-2.42
0.004673
0.9262
0.2238
-0.3189
0.3671
0.1158
0.02644
-0.1669
-0.2932
0.2252
0.4428
-0.4178
-0.5123
0.6265
-0.2548
0.7821
-0.3758
0.6836
0.6011
-0.494
-0.164
0.2119
-0.7141
0.2574
-0.106
0.1449
-0.2292
0.1043
-1.105
-0.7536
