cmamyg_r_activation
-0.1235
0.597
0.3864
-0.06272
0.0466
-0.07001
0.06617
0.02932
-0.09466
0.3977
-0.06801
0.2303
0.02085
0.142
0.3392
-0.2092
0.188
-0.2314
-0.2062
0.2688
0.09943
-1.004
0.2792
-0.1096
0.1885
-0.00726
-0.03964
-0.2805
0.1975
-0.1918
0.0431
-0.3276
-0.005171
-0.2223
0.2015
-0.3601
0.0473
0.3181
0.146
0.04156
0.005551
-0.08876
0.06631
-0.09803
-0.004521
-0.1106
0.1783
-0.1511
-0.1402
0.1245
0.5392
0.0844
-0.1167
0.2079
0.3198
-0.2564
0.3528
0.2095
0.6748
0.05806
0.05422
0.05954
0.3681
-0.353
0.07012
-0.3394
-0.02214
-0.08046
0.3181
-0.2565
0.3937
-0.4017
-0.3847
-0.624
0.5
-0.05066
0.5697
-0.2297
-0.05056
0.1068
