amyg_r_activation
-0.0557
0.2678
0.0724
-0.3194
0.2189
-0.07907
0.0185
-0.01336
-0.2493
0.5441
0.04807
0.2677
0.09957
-0.09572
0.1449
-0.2953
-0.5191
0.08237
0.5355
-0.1808
0.6019
-0.5801
-0.05361
-0.1038
0.07092
0.1127
0.05271
-0.2796
0.1571
-0.1682
0.1826
-0.5595
0.0283
-0.138
-0.2125
-0.02468
0.04364
0.07244
0.4922
-0.02283
-0.08489
-0.1898
0.08853
0.09236
-0.0213
0.004626
0.2879
-0.4379
-0.439
1.077
-0.4717
0.3322
-0.1665
0.2457
0.235
0.3716
-0.03843
0.5322
-0.004264
-0.1454
0.2593
-0.39
0.3676
0.1485
-0.3812
0.06655
0.03188
-0.2802
0.2431
-0.1558
0.07564
-0.07363
-0.08195
0.2313
0.1389
-0.1041
0.05873
0.08023
