amyg_l_activation
0.01883
-0.1741
0.3515
-0.06728
-0.2009
-0.3577
0.08234
-0.09292
0.2147
-0.006872
0.2083
-0.1892
-0.3975
-0.1455
0.1158
-0.3308
-0.2695
0.6765
0.01447
-0.09838
0.9222
0.5032
0.1034
6.90E-05
0.3606
-0.3569
0.1406
-0.2442
-0.1037
-0.04282
-0.08163
-0.04083
-0.5055
0.4282
-0.2185
0.3492
0.05735
-0.02677
-0.05908
0.1246
-0.07784
0.1441
0.07254
-0.09521
-0.3452
0.1631
-0.3346
-0.03294
0.5892
-0.2813
0.1296
0.4162
0.6473
0.1866
-0.000156
-0.3624
0.009213
0.4718
-0.02958
0.3374
1.354
-1.065
0.00648
0.0504
-0.2189
0.2276
-0.1156
0.02137
0.2203
-0.1843
0.1627
0.01319
0.3402
0.2189
-0.1377
0.1345
-0.2655
0.1238
