supamyg_l_activation
0.01412
0.2038
0.09915
-0.2159
0.03795
-0.207
0.04346
-0.1329
-0.3169
0.8468
0.3734
0.07026
0.5077
-0.0564
-0.2046
-0.334
-0.4939
0.3166
0.8459
0.1788
0.9351
-0.9482
-0.1235
0.1809
0.02856
-0.01432
0.2455
-0.5784
-0.01597
-0.00593
0.4787
-0.6162
-0.2751
-0.2891
-0.4105
0.06295
-0.2561
0.2336
0.462
-0.03622
0.5158
0.1542
0.4148
-0.06863
-0.2049
0.06771
0.3532
-0.4994
-0.3987
0.45
0.2814
0.1291
-0.3794
0.206
0.007403
0.6864
-0.0756
0.3806
0.2611
0.428
0.4674
-0.333
0.1968
-0.2147
-0.05389
-0.06723
-0.551
0.07655
-0.1428
0.1258
0.1185
-0.3937
0.07607
-0.215
-0.3367
1.249
0.2955
-0.4895
-0.01824
0.01809
