lbamyg_r_activation
-0.05887
0.1308
0.02608
-0.3895
0.3161
-0.1029
-0.01578
0.001675
-0.2895
0.5238
-0.03484
0.2624
-0.02708
-0.11
0.1064
-0.3944
-0.8929
0.1939
0.6985
-0.3135
0.6698
-0.3702
-0.1278
-0.1228
0.01823
0.1999
0.06113
-0.1499
0.1435
-0.1436
0.09632
-0.5222
0.09695
-0.08645
-0.2604
0.05152
0.03254
-0.02586
0.4759
0.04841
-0.2677
-0.2064
0.006874
0.1629
-0.01384
0.02704
0.2079
-0.3964
-0.4441
1.486
-1.149
0.4945
-0.2698
0.1532
0.1918
0.3414
-0.2559
0.5934
-0.04698
-0.1703
0.3179
-0.3625
0.5891
0.4732
-0.4994
0.1983
-0.06783
-0.4217
0.1782
0.0397
0.1709
-0.009405
-0.1397
0.192
-0.05877
-0.07771
0.1072
0.01318
