lbamyg_l_activation
-0.2066
-0.1356
0.08285
-0.01562
-0.1599
-0.5421
-0.01801
-0.09066
0.1929
0.0438
0.277
-0.06261
-0.4811
-0.08047
0.02651
-0.2783
-0.4486
0.6513
0.1113
-0.2037
0.8376
0.9855
0.09814
0.01576
0.3322
-0.3238
0.1899
-0.1967
-0.09115
-0.02575
-0.1606
-0.001735
-0.3163
0.2865
-0.28
0.3327
0.02725
-0.08138
-0.000826
0.1219
-0.09787
0.1276
-0.2251
-0.04469
-0.292
0.08633
-0.4677
-0.02282
0.3284
-0.431
0.1046
0.5166
0.6026
0.2331
0.03183
-0.3869
-0.1234
0.6103
-0.1125
0.4082
1.267
-0.9872
0.007329
0.04702
-0.1796
0.1398
-0.0759
-0.05417
0.2896
-0.2456
0.1135
0.04497
0.2822
0.1594
-0.1295
0.09722
-0.1343
0.06049
