lbamyg_l_activation
-0.0606
-0.1618
0.1769
-0.05506
-0.1961
-0.3912
-0.02938
-0.08024
0.1596
0.02892
0.229
-0.08255
-0.4422
-0.07678
0.03984
-0.252
-0.4066
0.5984
0.0841
-0.1778
0.7103
0.888
0.07947
-0.0151
0.3178
-0.3774
0.1693
-0.2188
-0.08983
-0.04093
-0.07737
-0.05153
-0.3938
0.386
-0.2477
0.3089
0.03221
-0.0652
-0.01492
0.1179
-0.1197
0.1445
-0.07695
-0.08585
-0.3415
0.1046
-0.3795
-0.1235
0.3617
-0.3533
0.0924
0.4049
0.5553
0.2106
0.1304
-0.4574
-0.1053
0.5295
-0.04983
0.3694
1.34
-1
0.01864
0.02981
-0.2505
0.1997
-0.08235
-0.002373
0.239
-0.236
0.1676
0.009364
0.3362
0.155
-0.09475
0.03804
-0.1349
-0.0395
